iter	Passed	Remaining
400	30323	45295
401	30394	45213
402	30466	45132
403	30566	45093
404	30634	45006
405	30710	44931
406	30839	44933
407	30905	44843
408	30982	44769
409	31057	44693
410	31133	44616
411	31208	44540
412	31286	44468
413	31361	44390
414	31457	44344
415	31529	44262
416	31591	44167
417	31669	44095
418	31743	44016
419	31828	43954
420	31888	43856
421	31964	43780
422	32042	43708
423	32119	43633
424	32187	43547
425	32258	43465
426	32324	43376
427	32402	43304
428	32477	43227
429	32545	43142
430	32616	43059
431	32714	43013
432	32780	42925
433	32854	42846
434	32925	42764
435	33003	42692
436	33076	42613
437	33147	42531
438	33221	42453
439	33287	42366
440	33362	42289
441	33441	42217
442	33514	42138
443	33596	42071
444	33675	41999
445	33737	41907
446	33806	41822
447	33872	41736
448	33964	41680
449	34046	41612
450	34127	41543
451	34227	41496
452	34302	41420
453	34402	41374
454	34481	41302
455	34555	41223
456	34628	41145
457	34697	41061
458	34771	40983
459	34850	40911
460	34912	40820
461	34985	40741
462	35060	40664
463	35134	40586
464	35207	40507
465	35294	40444
466	35369	40368
467	35427	40272
468	35502	40195
469	35580	40122
470	35660	40051
471	35727	39966
472	35805	39893
473	35884	39820
474	35963	39749
475	36035	39669
476	36113	39596
477	36208	39541
478	36290	39472
479	36365	39396
480	36444	39323
481	36526	39254
482	36602	39178
483	36676	39101
484	36745	39018
485	36831	38953
486	36895	38865
487	36991	38810
488	37068	38736
489	37166	38683
490	37263	38629
491	37343	38558
492	37417	38480
493	37499	38410
494	37577	38336
495	37647	38254
496	37721	38176
497	37817	38121
498	37890	38041
499	37965	37965
500	38029	37877
501	38104	37800
502	38181	37726
503	38252	37645
504	38326	37567
505	38410	37499
506	38483	37420
507	38583	37368
508	38650	37283
509	38748	37228
510	38807	37136
511	38870	37048
512	38942	36968
513	39014	36888
514	39088	36811
515	39177	36748
516	39266	36683
517	39338	36604
518	39417	36531
519	39502	36463
520	39587	36396
521	39672	36328
522	39754	36257
523	39843	36193
524	39917	36116
525	40005	36050
526	40097	35988
527	40200	35936
528	40283	35866
529	40362	35792
530	40445	35722
531	40530	35654
532	40612	35583
533	40700	35517
534	40777	35442
535	40851	35363
536	40928	35288
537	41005	35212
538	41084	35138
539	41156	35059
540	41243	34991
541	41325	34921
542	41412	34853
543	41499	34785
544	41578	34711
545	41627	34613
546	41703	34536
547	41778	34459
548	41857	34385
549	41924	34302
550	41997	34223
551	42157	34214
552	42236	34140
553	42342	34087
554	42416	34009
555	42500	33939
556	42582	33867
557	42665	33795
558	42726	33707
559	42803	33631
560	42867	33545
561	42946	33470
562	43033	33402
563	43102	33320
564	43167	33235
565	43244	33159
566	43340	33097
567	43444	33042
568	43546	32985
569	43627	32911
570	43713	32842
571	43801	32774
572	43894	32710
573	43980	32640
574	44080	32581
575	44169	32513
576	44264	32450
577	44378	32400
578	44463	32330
579	44543	32255
580	44616	32176
581	44698	32102
582	44777	32028
583	44874	31965
584	44959	31894
585	45027	31811
586	45120	31745
587	45190	31663
588	45255	31579
589	45318	31492
590	45416	31430
591	45504	31361
592	45574	31279
593	45649	31201
594	45726	31124
595	45807	31050
596	45883	30973
597	45981	30910
598	46054	30831
599	46131	30754
600	46204	30675
601	46270	30591
602	46342	30511
603	46418	30433
604	46499	30359
605	46561	30272
606	46624	30186
607	46700	30109
608	46775	30031
609	46867	29964
610	46930	29878
611	47004	29800
612	47081	29723
613	47153	29643
614	47223	29562
615	47319	29497
616	47396	29421
617	47472	29344
618	47515	29246
619	47589	29167
620	47669	29092
621	47728	29005
622	47804	28928
623	47909	28868
624	47988	28793
625	48068	28718
626	48142	28639
627	48220	28563
628	48308	28493
629	48389	28419
630	48493	28358
631	48575	28284
632	48652	28207
633	48721	28126
634	48779	28038
635	48852	27959
636	48921	27878
637	48995	27799
638	49080	27727
639	49165	27655
640	49235	27574
641	49312	27497
642	49388	27420
643	49453	27337
644	49523	27256
645	49584	27171
646	49659	27094
647	49734	27016
648	49812	26940
649	49888	26863
650	49966	26786
651	50033	26705
652	50104	26625
653	50179	26547
654	50248	26466
655	50326	26390
656	50402	26313
657	50483	26239
658	50552	26158
659	50605	26069
660	50658	25980
661	50727	25900
662	50798	25820
663	50868	25740
664	50949	25666
665	51022	25587
666	51088	25505
667	51168	25430
668	51246	25355
669	51313	25273
670	51382	25193
671	51458	25116
672	51531	25038
673	51609	24962
674	51686	24885
675	51760	24808
676	51838	24732
677	51917	24657
678	51992	24579
679	52070	24503
680	52133	24421
681	52202	24340
682	52283	24266
683	52364	24191
684	52450	24119
685	52521	24040
686	52605	23967
687	52692	23895
688	52799	23832
689	52898	23766
690	52968	23686
691	53029	23602
692	53101	23524
693	53184	23450
694	53260	23373
695	53335	23296
696	53473	23245
697	53591	23187
698	53653	23104
699	53779	23048
700	53845	22966
701	53969	22910
702	54038	22829
703	54112	22751
704	54188	22674
705	54255	22593
706	54335	22517
707	54487	22472
708	54576	22400
709	54644	22319
710	54719	22242
711	54799	22165
712	54936	22113
713	55016	22037
714	55086	21957
715	55155	21877
716	55281	21819
717	55364	21744
718	55488	21686
719	55561	21607
720	55630	21527
721	55762	21470
722	55835	21391
723	55910	21313
724	56033	21254
725	56114	21178
726	56186	21098
727	56252	21017
728	56379	20958
729	56449	20878
730	56564	20815
731	56635	20735
732	56710	20657
733	56786	20579
734	56860	20500
735	56918	20416
736	56989	20336
737	57055	20255
738	57136	20179
739	57204	20098
740	57280	20021
741	57349	19940
742	57427	19863
743	57495	19783
744	57565	19703
745	57635	19624
746	57707	19544
747	57786	19468
748	57857	19388
749	57928	19309
750	57999	19230
751	58081	19154
752	58158	19077
753	58258	19007
754	58324	18926
755	58407	18851
756	58547	18793
757	58611	18712
758	58691	18635
759	58766	18557
760	58894	18496
761	58957	18414
762	59021	18333
763	59097	18255
764	59162	18174
765	59233	18094
766	59298	18013
767	59364	17933
768	59441	17855
769	59519	17778
770	59588	17698
771	59659	17619
772	59801	17561
773	59872	17482
774	59948	17404
775	60020	17325
776	60100	17248
777	60172	17170
778	60250	17092
779	60325	17014
780	60401	16937
781	60474	16858
782	60549	16780
783	60634	16705
784	60765	16642
785	60841	16565
786	60963	16499
787	61026	16418
788	61098	16339
789	61168	16260
790	61248	16183
791	61325	16105
792	61399	16027
793	61468	15947
794	61593	15882
795	61673	15805
796	61737	15724
797	61799	15643
798	61878	15566
799	61935	15483
800	62025	15409
801	62101	15331
802	62175	15253
803	62253	15176
804	62316	15095
805	62386	15016
806	62460	14937
807	62531	14858
808	62605	14780
809	62685	14704
810	62757	14625
811	62837	14548
812	62906	14469
813	62977	14390
814	63054	14313
815	63127	14234
816	63203	14157
817	63268	14076
818	63343	13999
819	63415	13920
820	63483	13841
821	63555	13762
822	63625	13683
823	63701	13606
824	63839	13541
825	63911	13463
826	63983	13384
827	64065	13308
828	64143	13230
829	64223	13154
830	64291	13075
831	64368	12997
832	64515	12934
833	64596	12857
834	64665	12778
835	64740	12700
836	64813	12622
837	64885	12543
838	64945	12462
839	65020	12384
840	65101	12308
841	65180	12231
842	65245	12151
843	65320	12073
844	65396	11995
845	65472	11918
846	65533	11837
847	65604	11759
848	65679	11681
849	65759	11604
850	65835	11526
851	65985	11462
852	66101	11391
853	66217	11320
854	66291	11242
855	66399	11170
856	66541	11103
857	66613	11024
858	66690	10946
859	66775	10870
860	66851	10792
861	66924	10714
862	66985	10633
863	67062	10556
864	67129	10476
865	67199	10398
866	67271	10319
867	67452	10257
868	67523	10179
869	67592	10100
870	67671	10022
871	67733	9942
872	67807	9864
873	67887	9787
874	67965	9709
875	68037	9630
876	68115	9553
877	68187	9474
878	68267	9397
879	68345	9319
880	68414	9240
881	68487	9162
882	68553	9083
883	68628	9005
884	68820	8942
885	68887	8863
886	68969	8786
887	69048	8708
888	69132	8631
889	69206	8553
890	69284	8475
891	69359	8397
892	69433	8319
893	69516	8242
894	69602	8165
895	69685	8088
896	69767	8011
897	69846	7933
898	69925	7855
899	70006	7778
900	70082	7700
901	70161	7622
902	70244	7545
903	70325	7468
904	70511	7401
905	70581	7323
906	70656	7244
907	70723	7165
908	70794	7087
909	70879	7010
910	71047	6940
911	71120	6862
912	71187	6783
913	71263	6705
914	71337	6627
915	71414	6548
916	71491	6470
917	71561	6392
918	71636	6313
919	71716	6236
920	71791	6157
921	71865	6079
922	71935	6001
923	72011	5923
924	72090	5845
925	72160	5766
926	72239	5688
927	72316	5610
928	72399	5533
929	72470	5454
930	72549	5376
931	72619	5298
932	72678	5219
933	72874	5149
934	72955	5071
935	73024	4993
936	73188	4920
937	73249	4841
938	73329	4763
939	73403	4685
940	73482	4607
941	73555	4528
942	73631	4450
943	73709	4372
944	73789	4294
945	73867	4216
946	73936	4137
947	74018	4060
948	74096	3982
949	74174	3903
950	74236	3824
951	74310	3746
952	74389	3668
953	74466	3590
954	74524	3511
955	74599	3433
956	74672	3355
957	74744	3276
958	74814	3198
